101|90|82|40858|Jul  1 2015  7:00AM|5452|57|Jul  1 2015 12:00PM||Jul  6 2015 11:10AM
101|91|82|5452|Jul  2 2015  1:00PM|40858|57|Jul  2 2015  3:30PM||Jul  6 2015 11:12AM
101|92|83|58013|Jun 29 2015  5:00AM|40858|57|Jun 29 2015  8:00AM||Jul  6 2015  1:37PM
101|93|83|40858|Jun 30 2015  7:00AM|58618|57|Jun 30 2015  9:00AM||Jul  6 2015  1:42PM
101|94|83|58618|Jun 30 2015 11:00AM|6395|57|Jun 30 2015 12:00PM||Jul  6 2015  1:43PM
101|95|83|6395|Jun 30 2015  1:00PM|40858|57|Jun 30 2015  2:00PM||Jul  6 2015  1:43PM
101|96|83|40858|Jun 30 2015  4:00PM|58013|57|Jun 30 2015  7:00PM||Jul  6 2015  1:44PM
101|97|84|58147|Jul  1 2015  8:00AM|12037|86|Jul  1 2015 12:50PM||Jul  8 2015  9:33AM
101|98|84|12037|Jul  2 2015  2:30PM|58147|57|Jul  2 2015  8:00PM||Jul  8 2015  9:30AM
101|99|85|5434|Jul  6 2015  7:00AM|5034|57|Jul  6 2015  2:00PM||Jul  8 2015 12:30PM
101|100|85|5034|Jul  7 2015  2:00PM|5434|57|Jul  7 2015  8:00PM||Jul  8 2015 12:31PM
101|101|87|57337|Jun 28 2015  7:00PM|36216|40|Jun 29 2015 12:00AM||Jul  9 2015  7:14AM
101|102|87|36216|Jun 29 2015  8:00AM|4012|40|Jun 29 2015  9:00PM||Jul  9 2015  7:18AM
101|103|87|4012|Jun 30 2015  8:30AM|3941|40|Jun 30 2015  8:30PM||Jul  9 2015  7:19AM
101|104|87|3941|Jul  1 2015  8:00AM|57337|57|Jul  1 2015  1:30PM||Jul  9 2015  7:19AM
101|108|91|6165|Jul  7 2015  3:00PM|32998|235|Jul  8 2015  3:00AM||Jul  9 2015  7:47PM
101|109|91|32998|Jul 17 2015  4:00AM|6165|57|Jul 17 2015  5:00PM||Jul  9 2015  7:48PM
101|110|92|40858|Jun 24 2015  7:00AM|12671|87|Jun 24 2015  9:00AM||Jul 10 2015  2:06PM
101|111|92|12671|Jun 25 2015  8:55AM|40858|57|Jun 25 2015 10:55AM||Jul 10 2015  2:06PM
101|112|93|6406|Jun  8 2015  5:30AM|5790|57|Jun  8 2015  8:30AM||Jul 13 2015  8:45AM
101|113|93|5790|Jun  8 2015  2:30PM|6406|57|Jun  8 2015  6:00PM||Jul 13 2015  8:45AM
101|114|93|6406|Jun  9 2015  1:30PM|43265|40|Jun  9 2015  6:00PM||Jul 13 2015  8:46AM
101|115|93|43265|Jun 10 2015  8:00AM|6406|57|Jun 10 2015  9:00PM||Jul 13 2015  8:48AM
101|116|94|6406|Jun 15 2015  5:00AM|36451|57|Jun 15 2015  9:00AM||Jul 13 2015  9:16AM
101|117|94|36451|Jun 18 2015  1:30PM|6406|57|Jun 18 2015  9:00PM||Jul 13 2015  9:17AM
101|118|98|6406|Jun 22 2015  8:00AM|6980|57|Jun 22 2015  9:00AM||Jul 13 2015  9:42AM
101|119|98|6980|Jun 22 2015  2:00PM|6406|57|Jun 22 2015  5:00PM||Jul 13 2015  9:43AM
101|120|98|6406|Jun 24 2015 12:00PM|6165|57|Jun 24 2015  4:30PM||Jul 13 2015  9:44AM
101|121|98|6165|Jun 26 2015 11:00AM|6406|57|Jun 26 2015  4:00PM||Jul 13 2015  9:45AM
101|122|99|6406|Jun 28 2015  5:30PM|36216|40|Jun 29 2015 12:00AM||Jul 13 2015  9:55AM
101|123|99|36216|Jun 29 2015  8:00AM|4012|40|Jun 29 2015  9:00PM||Jul 13 2015  9:56AM
101|124|99|4012|Jun 30 2015  8:00AM|3941|40|Jun 30 2015  9:00PM||Jul 13 2015  9:57AM
101|125|99|3941|Jul  1 2015  8:00AM|6406|57|Jul  1 2015  5:00PM||Jul 13 2015  9:58AM
101|126|100|40858|Jun 21 2015  8:00AM|4418|46|Jun 22 2015  1:00PM||Jul 14 2015  7:45AM
101|127|100|4418|Jun 24 2015 10:00AM|4385|50|Jun 24 2015 12:00PM||Jul 14 2015  7:45AM
101|128|100|4385|Jun 26 2015 10:00AM|47122|132|Jun 26 2015 11:00AM||Jul 14 2015  7:46AM
101|129|100|47122|Jul  1 2015  9:00AM|18365|126|Jul  1 2015 11:00AM||Jul 14 2015  7:47AM
101|130|100|18365|Jul  5 2015 10:00PM|17790|125|Jul  6 2015  1:00AM||Jul 14 2015  7:47AM
101|131|100|17790|Jul  9 2015 12:00PM|40858|57|Jul 10 2015  2:00PM||Jul 14 2015  7:48AM
101|132|102|58013|Jul  6 2015  5:00AM|40858|57|Jul  6 2015  8:00AM||Jul 14 2015  1:33PM
101|133|102|40858|Jul  9 2015  1:00PM|58013|57|Jul  9 2015  4:00PM||Jul 14 2015  1:33PM
101|134|114|25355|Jul  1 2015  4:00PM|40858|493|Jul  1 2015 10:00PM||Jul 14 2015  1:44PM
101|135|114|40858|Jul  2 2015  6:00PM|25355|602|Jul  2 2015 10:30PM||Jul 14 2015  1:44PM
101|136|115|40858|Jul  2 2015  8:00AM|6472|57|Jul  2 2015  9:30AM||Jul 14 2015  5:08PM
101|137|115|6472|Jul  2 2015 12:00PM|40858|57|Jul  2 2015  1:30PM||Jul 14 2015  5:09PM
101|138|116|40858|Jul 13 2015  7:00AM|40858|57|Jul 13 2015  7:30AM||Jul 14 2015  5:23PM
101|139|116|40858|Jul 14 2015  4:00PM|58013|57|Jul 14 2015  7:00PM||Jul 14 2015  5:24PM
101|141|119|40858|May 17 2015 12:40PM|11542|86|May 17 2015  4:40PM||Jul 15 2015  7:04AM
101|142|119|11542|May 25 2015  4:40PM|40858|57|May 25 2015  7:35PM||Jul 15 2015  7:06AM
101|143|120|6029|Jul  5 2015  4:00AM|6165|57|Jul  5 2015  6:00PM||Jul 15 2015  8:07AM
101|144|120|6165|Jul  7 2015  9:00AM|6029|57|Jul  7 2015  5:00PM||Jul 15 2015  8:09AM
101|145|121|40858|Jul  9 2015  6:30AM|5642|57|Jul  9 2015  9:30AM||Jul 16 2015 11:09AM
101|146|121|5642|Jul 10 2015  8:15AM|40858|57|Jul 10 2015 11:10AM||Jul 16 2015 11:10AM
101|147|122|5153|Jul 14 2015  7:00AM|6282|57|Jul 14 2015 11:30AM||Jul 17 2015  8:14AM
101|148|122|6282|Jul 16 2015  4:00PM|5153|57|Jul 16 2015  7:30PM||Jul 17 2015  8:15AM
101|149|123|6406|Jul  9 2015  8:00AM|5707|57|Jul  9 2015 10:30AM||Jul 17 2015  8:31AM
101|150|123|5707|Jul 10 2015  7:00AM|6406|57|Jul 10 2015  9:30AM||Jul 17 2015  8:31AM
