101|2000|2002|263|1|N||Jun 21 2005  3:55PM
101|2001|2005|263|1|N||Jun 21 2005  3:55PM
101|2002|2008|263|1|N||Jun 21 2005  3:55PM
101|2003|2015|263|1|N||Jul  5 2005  1:59PM
101|2013|2027|263|1|N||Apr 24 2006  8:55PM
101|2014|2030|263|1|N||Apr 24 2006  8:55PM
101|2015|2033|263|1|N||Apr 24 2006  8:55PM
101|2023|2046|263|1|N||Mar 22 2007 11:03PM
101|2033|2070|263|1|N||Apr 30 2007  8:35PM
101|2034|2073|263|1|N||Apr 30 2007  8:35PM
101|2035|2076|263|1|N||Apr 30 2007  8:35PM
101|2043|2086|445|1|N||Jun  8 2007 12:21AM
101|2044|2086|568|2|N||Jun  8 2007 12:21AM
101|2045|2090|263|1|N||Jun  8 2007 12:21AM
101|2046|2093|263|1|N||Jun  8 2007 12:21AM
101|2047|2096|263|1|N||Jun  8 2007 12:21AM
101|2053|2106|765|2|N||Oct 10 2007  3:52PM
101|2054|2106|716|1|N||Oct 10 2007  3:52PM
101|2055|2124|928|1|N||Feb 18 2012  3:08AM
101|2056|2124|949|2|N||Feb 18 2012  3:08AM
101|2057|2124|1147|3|N||Mar 24 2012  1:54AM
101|2058|2124|1152|4|N||Mar 24 2012  1:54AM
101|2059|2124|1060|5|N||Jun 23 2012  1:42AM
