101|INCTS|N|N|OTHER|ALWAYS|101|OTHER|INCTS||Oct  3 2014  8:59PM
101|JTRAN|N|N|JPYPTRAN|ALWAYS|101||OTHER||Sep 15 2012  2:07AM
101|LIMOS|N|N|OTHER|ALWAYS|101|TRANS|INCTS||Oct  3 2014  9:03PM
101|LNDRY|N|N|OTHER|ALWAYS|101|OTHER|||Oct  3 2014  9:01PM
101|LOCPH|N|N|OTHER|ALWAYS|101|COMMU|||Oct  3 2014  8:56PM
101|LODGE|N|N|LODGING|ALWAYS|101||LODNG||Jun  9 2015  6:50PM
101|LODNG|N|N|LODGING|ALWAYS|101|LODGE|LODNG||Jun 10 2015  1:00PM
101|LODTX|N|Y|LODGING|CHILD|101|LODGE|LODNG||Jun 15 2013  3:05AM
101|LONGD|N|N|OTHER|ALWAYS|101|COMMU|||Oct  3 2014  8:56PM
101|LUNCH|N|N|MEALS|ALWAYS|101|MEALS|MEALS||Sep 19 2009  4:11AM
101|MEALS|N|N|MEALS|ALWAYS|101||MEALS||Nov 14 2009  5:32AM
101|MILEG|N|N|PCARMILE|ALWAYS|101|TRANS|||Jan 16 2010  6:06AM
101|MISCL|N|N|OTHER|ALWAYS|101|OTHER|OTHER||Oct  3 2014  9:04PM
101|MTNGS|N|N|OTHER|ALWAYS|101|OTHER|||Sep 19 2009  4:11AM
101|MTRLS|N|N|OTHER|ALWAYS|101|OTHER|||Sep 19 2009  4:11AM
101|OFCSP|N|N|OTHER|ALWAYS|101|OTHER|||Sep 19 2009  4:11AM
101|ONLIN|N|N|OTHER|ALWAYS|101|COMMU|||Oct  3 2014  9:04PM
101|OTHER|N|Y|OTHER|ALWAYS|101||OTHER||Nov 14 2009  5:32AM
101|OVRNT|N|Y|MEALS|NEVER|101||MEALS||Jun  2 2015  6:11PM
101|PAGER|N|N|OTHER|ALWAYS|101|COMMU|||Oct  3 2014  8:55PM
101|PARKG|N|N|OTHER|ALWAYS|101|TRANS|INCTS||Oct  3 2014  9:03PM
101|PCARX|Y|N|OTHER|ALWAYS|101|TRANS|||Sep 19 2009  4:11AM
101|POSTG|N|N|OTHER|ALWAYS|101|OTHER|||Sep 19 2009  4:11AM
101|PROMO|N|N|OTHER|ALWAYS|101||OTHER||Nov 14 2009  5:32AM
101|PVMLS|N|Y|MEALS|NEVER|101||MEALS||Jun  2 2015  6:11PM
101|SEMNR|N|N|OTHER|ALWAYS|101|OTHER|||Oct  3 2014  8:56PM
101|SUBSC|N|N|OTHER|ALWAYS|101|OTHER|||Sep 19 2009  4:11AM
101|SUBWY|N|N|OTHER|ALWAYS|101|TRANS|INCTS||Oct  3 2014  9:05PM
101|TAGFE|N|N|OTHER|ALWAYS|101|OTHER|||Oct  3 2014  8:57PM
101|TAXIX|N|N|OTHER|ALWAYS|101|TRANS|INCTS||Oct  3 2014  9:05PM
101|TOLLS|N|N|OTHER|ALWAYS|101|TRANS|INCTS||Oct  3 2014  9:04PM
101|TRAIN|N|N|OTHER|ALWAYS|101|TRANS|INCTS||Oct  3 2014  9:02PM
101|TRANS|N|N|OTHER|ALWAYS|101||OTHER||Nov 14 2009  5:32AM
101|TRDSH|N|N|OTHER|ALWAYS|101|PROMO|||Oct  3 2014  9:05PM
101|TXMLS|N|Y|MEALS|NEVER|101||MEALS||Jun  2 2015  6:11PM
101|UNDEF|N|Y|OTHER|NEVER|101||OTHER||Nov 14 2009  5:32AM
