101|1|8|RUNNING|Jul 21 2008 11:10PM||Jul 21 2008 11:10PM
101|2|8|RUNNING|Jul 22 2008 11:11PM||Jul 22 2008 11:11PM
101|3|8|RUNNING|Jul 23 2008 11:11PM||Jul 23 2008 11:11PM
101|4|8|RUNNING|Jul 24 2008 11:11PM||Jul 24 2008 11:11PM
101|5|8|RUNNING|Jul 25 2008 11:14PM||Jul 25 2008 11:14PM
101|6|8|RUNNING|Jul 26 2008 11:05PM||Jul 26 2008 11:05PM
101|7|8|RUNNING|Jul 27 2008 11:06PM||Jul 27 2008 11:06PM
101|8|8|RUNNING|Jul 28 2008 11:10PM||Jul 28 2008 11:10PM
101|9|8|RUNNING|Jul 29 2008 11:12PM||Jul 29 2008 11:12PM
101|10|8|RUNNING|Jul 30 2008 11:11PM||Jul 30 2008 11:11PM
101|11|8|RUNNING|Jul 31 2008 11:11PM||Jul 31 2008 11:11PM
101|12|8|RUNNING|Aug  1 2008 11:11PM||Aug  1 2008 11:11PM
101|13|8|RUNNING|Aug  2 2008 11:07PM||Aug  2 2008 11:07PM
101|14|8|RUNNING|Aug  3 2008 11:06PM||Aug  3 2008 11:06PM
101|15|8|RUNNING|Aug  4 2008 11:17PM||Aug  4 2008 11:17PM
101|16|8|RUNNING|Aug  5 2008 11:11PM||Aug  5 2008 11:11PM
101|17|8|RUNNING|Aug  6 2008 11:11PM||Aug  6 2008 11:11PM
101|18|8|RUNNING|Aug  7 2008 11:10PM||Aug  7 2008 11:10PM
101|19|8|RUNNING|Aug  8 2008 11:11PM||Aug  8 2008 11:11PM
101|20|8|RUNNING|Aug  9 2008 11:17PM||Aug  9 2008 11:17PM
101|21|8|RUNNING|Aug 10 2008 11:08PM||Aug 10 2008 11:08PM
101|22|8|RUNNING|Aug 11 2008 11:13PM||Aug 11 2008 11:13PM
101|23|8|RUNNING|Aug 12 2008 11:07PM||Aug 12 2008 11:07PM
101|24|8|RUNNING|Aug 13 2008 11:08PM||Aug 13 2008 11:08PM
101|25|8|RUNNING|Aug 14 2008 11:09PM||Aug 14 2008 11:09PM
101|26|8|RUNNING|Aug 15 2008 11:09PM||Aug 15 2008 11:09PM
101|27|8|RUNNING|Aug 16 2008 11:09PM||Aug 16 2008 11:09PM
101|28|8|RUNNING|Aug 17 2008 11:08PM||Aug 17 2008 11:08PM
101|29|8|RUNNING|Aug 18 2008 11:09PM||Aug 18 2008 11:09PM
101|30|8|RUNNING|Aug 19 2008 11:12PM||Aug 19 2008 11:12PM
101|31|8|RUNNING|Aug 20 2008 11:08PM||Aug 20 2008 11:08PM
101|32|8|RUNNING|Aug 21 2008 11:12PM||Aug 21 2008 11:12PM
101|33|8|RUNNING|Aug 22 2008 11:10PM||Aug 22 2008 11:10PM
101|34|8|RUNNING|Aug 23 2008 11:07PM||Aug 23 2008 11:07PM
101|35|8|RUNNING|Aug 24 2008 11:05PM||Aug 24 2008 11:05PM
101|36|8|RUNNING|Aug 25 2008 11:08PM||Aug 25 2008 11:08PM
101|37|8|RUNNING|Aug 26 2008 11:10PM||Aug 26 2008 11:10PM
101|38|8|RUNNING|Aug 27 2008 11:08PM||Aug 27 2008 11:08PM
101|39|8|RUNNING|Aug 28 2008 11:11PM||Aug 28 2008 11:11PM
101|40|8|RUNNING|Aug 29 2008 11:08PM||Aug 29 2008 11:08PM
101|41|8|RUNNING|Aug 30 2008 11:05PM||Aug 30 2008 11:05PM
101|42|8|RUNNING|Aug 31 2008 11:04PM||Aug 31 2008 11:04PM
101|43|8|RUNNING|Sep  1 2008 11:05PM||Sep  1 2008 11:05PM
101|44|8|RUNNING|Sep  2 2008 11:09PM||Sep  2 2008 11:09PM
101|45|8|RUNNING|Sep  3 2008 11:08PM||Sep  3 2008 11:08PM
101|46|8|RUNNING|Sep  4 2008 11:09PM||Sep  4 2008 11:09PM
101|47|8|RUNNING|Sep  5 2008 11:12PM||Sep  5 2008 11:12PM
101|48|8|RUNNING|Sep  6 2008 11:05PM||Sep  6 2008 11:05PM
101|49|8|RUNNING|Sep  7 2008 11:07PM||Sep  7 2008 11:07PM
101|50|8|RUNNING|Sep  8 2008 11:10PM||Sep  8 2008 11:10PM
101|51|8|RUNNING|Sep  9 2008 11:09PM||Sep  9 2008 11:09PM
101|52|8|RUNNING|Sep 10 2008 11:01PM||Sep 10 2008 11:01PM
101|53|8|RUNNING|Sep 11 2008 11:08PM||Sep 11 2008 11:08PM
101|54|8|RUNNING|Sep 12 2008 11:02PM||Sep 12 2008 11:02PM
101|55|8|RUNNING|Sep 13 2008 11:05PM||Sep 13 2008 11:05PM
101|56|8|RUNNING|Sep 14 2008 11:05PM||Sep 14 2008 11:05PM
101|57|8|RUNNING|Sep 15 2008 11:07PM||Sep 15 2008 11:07PM
101|58|8|RUNNING|Sep 16 2008 11:08PM||Sep 16 2008 11:08PM
101|59|8|RUNNING|Sep 17 2008 11:08PM||Sep 17 2008 11:08PM
101|60|8|RUNNING|Sep 18 2008 11:09PM||Sep 18 2008 11:09PM
101|61|8|RUNNING|Sep 19 2008 11:13PM||Sep 19 2008 11:13PM
101|62|8|RUNNING|Sep 20 2008 11:07PM||Sep 20 2008 11:07PM
101|63|8|RUNNING|Sep 21 2008 11:07PM||Sep 21 2008 11:07PM
101|64|8|RUNNING|Sep 22 2008 11:02PM||Sep 22 2008 11:02PM
101|65|8|RUNNING|Sep 23 2008 11:11PM||Sep 23 2008 11:11PM
101|66|8|RUNNING|Sep 24 2008 11:10PM||Sep 24 2008 11:10PM
