101|1|1|2||1000|N|Y|1||1||Jun 23 2009  1:50PM
101|2|1007|2||1000|Y|N|1||1||Sep 10 2013  1:50PM
101|3|1007|2||1000|N|N|1||1||Sep 10 2013  1:50PM
101|4|1007|2||1000|N|N|1||1||Sep 10 2013  7:45PM
101|5|1007|1644||1000|N|N|1||1||Sep 23 2013  2:33PM
101|6|1008|2||1000|Y|N|1||1||Oct  3 2013  3:46PM
101|7|1|2||1000|N|Y|1||1||Oct 21 2013  1:28PM
101|8|1008|2||1000|N|N|1||1||Nov 25 2013  9:05PM
101|9|1008|1647||1000|N|N|1||1||Mar  7 2014  9:00PM
101|10|1009|1644||1000|Y|N|1||1||Nov 20 2014  6:22PM
101|11|1010|1644||1000|Y|N|1||1||Nov 20 2014  6:23PM
101|12|1011|1644||1000|Y|N|1||1||Nov 20 2014  6:23PM
101|13|1012|1644||1000|Y|N|1||1||Nov 20 2014  6:24PM
101|14|1007|1644||2017|N|N|1||1||Nov 20 2014  6:24PM
101|15|1012|1644||1000|N|N|1||1||Nov 20 2014  6:30PM
101|16|1011|1644||1000|N|N|1||1||Nov 20 2014  6:30PM
101|17|1010|1644||1000|N|N|1||1||Nov 20 2014  6:30PM
101|18|1009|1644||1000|N|N|1||1||Nov 20 2014  6:30PM
101|19|1012|1644|1659|1000|N|N|1||1||Nov 20 2014  6:32PM
101|20|1011|1644|1659|1000|N|N|1||1||Nov 20 2014  6:32PM
101|21|1010|1644|1659|1000|N|N|1||1||Nov 20 2014  6:32PM
101|22|1009|1644|1659|1000|N|N|1||1||Nov 20 2014  6:32PM
