101|1|1|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||May 27 2015 12:47PM
101|2|2|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||May 22 2015 12:25PM
101|3|3|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||May 22 2015 12:22PM
101|4|4|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||May 22 2015 12:23PM
101|5|5|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:23PM
101|6|6|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||May 22 2015 12:22PM
101|7|7|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:23PM
101|8|8|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:24PM
101|9|9|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:22PM
101|10|10|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:22PM
101|11|11|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:22PM
101|12|12|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:23PM
101|13|13|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:23PM
101|14|14|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:22PM
101|15|15|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:21PM
101|16|16|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:21PM
101|17|17|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  5:30PM
101|18|18|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:20PM
101|19|19|Jan  1 2015 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  2:20PM
101|20|20|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||Feb  2 2016  2:17PM
101|21|21|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||Feb  2 2016  2:16PM
101|22|22|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||Feb  2 2016  2:17PM
101|23|23|Jan  1 2014 12:00AM|Dec 31 9999 11:59PM||Jun  2 2015  7:41PM
101|24|24|Jan  1 2014 12:00AM|Dec 31 9999 12:00AM||Jun  2 2015  7:44PM
101|25|25|Jan  1 2014 12:00AM|Dec 31 9999 11:59PM||Jun  2 2015  7:44PM
