101|1|1|1|2015|2749|203361||May 27 2015 12:47PM
101|2|2|1|2016|2517|203361||May 22 2015 12:25PM
101|3|3|1|2017|2744|203361||May 22 2015 12:22PM
101|4|4|1|2018|2522|203361||May 22 2015 12:23PM
101|5|5|1|2019|2735|203361||Jun  2 2015  2:23PM
101|6|6|1|2024|2527|203361||May 22 2015 12:22PM
101|7|7|1|2022|2530|203361||Jun  2 2015  2:23PM
101|8|8|1|2021|2533|203361||Jun  2 2015  2:24PM
101|9|9|1|2027|2551|203361||Jun  2 2015  2:22PM
101|10|10|1|2027|2554|203361||Jun  2 2015  2:22PM
101|11|11|1|2027|2557|203361||Jun  2 2015  2:22PM
101|12|12|1|2027|2564|203361||Jun  2 2015  2:23PM
101|13|13|1|2027|2567|203361||Jun  2 2015  2:23PM
101|14|14|1|2027|2570|203361||Jun  2 2015  2:22PM
101|15|15|1|2028|2583|203361||Jun  2 2015  2:21PM
101|16|16|1|2028|2588|203361||Jun  2 2015  2:21PM
101|17|17|1|2027|2591|203361||Jun  2 2015  5:30PM
101|18|18|1|2027|2594|203361||Jun  2 2015  2:20PM
101|19|19|1|2027|2597|203361||Jun  2 2015  2:20PM
101|20|20|1|2031|2632|203361||Feb  2 2016  2:17PM
101|21|21|1|2030|2635|203361||Feb  2 2016  2:16PM
101|22|22|1|2029|2642|203361||Feb  2 2016  2:17PM
101|23|23|1|2034|2812|203361||Jun  2 2015  7:41PM
101|24|24|1|2032|2815|203361||Jun  2 2015  7:44PM
101|25|25|1|2032|2818|203361||Jun  2 2015  7:44PM
