101|1|1|T|2768|0||||May 27 2015 12:47PM
101|1|2|R|2769|0||||May 27 2015 12:47PM
101|1|99|N||0||||May 27 2015 12:47PM
101|2|1|T|2752|100||||May 22 2015 12:25PM
101|2|2|R|2753|0||||May 22 2015 12:25PM
101|2|99|N||0||||May 22 2015 12:25PM
101|3|1|T|2745|0||||May 22 2015 12:22PM
101|3|2|R|2746|0||||May 22 2015 12:22PM
101|3|99|N||0||||May 22 2015 12:22PM
101|4|1|T|2747|100||||May 22 2015 12:23PM
101|4|2|R|2748|0||||May 22 2015 12:23PM
101|4|99|N||0||||May 22 2015 12:23PM
101|5|1|T|2804|0||||Jun  2 2015  2:23PM
101|5|2|R|2805|0||||Jun  2 2015  2:23PM
101|5|99|N||0||||Jun  2 2015  2:23PM
101|6|1|T|2742|100||||May 22 2015 12:22PM
101|6|2|R|2743|0||||May 22 2015 12:22PM
101|6|99|N||0||||May 22 2015 12:22PM
101|7|1|T|2806|100||||Jun  2 2015  2:23PM
101|7|2|R|2807|0||||Jun  2 2015  2:23PM
101|7|99|N||0||||Jun  2 2015  2:23PM
101|8|1|T|2808|100||||Jun  2 2015  2:24PM
101|8|2|R|2809|0||||Jun  2 2015  2:24PM
101|8|99|N||0||||Jun  2 2015  2:24PM
101|9|1|T|2794|100||||Jun  2 2015  2:22PM
101|9|2|R|2795|0||||Jun  2 2015  2:22PM
101|9|99|N||0||||Jun  2 2015  2:22PM
101|10|1|T|2796|100||||Jun  2 2015  2:22PM
101|10|2|R|2797|0||||Jun  2 2015  2:22PM
101|10|99|N||0||||Jun  2 2015  2:22PM
101|11|1|T|2798|100||||Jun  2 2015  2:22PM
101|11|2|R|2799|0||||Jun  2 2015  2:22PM
101|11|99|N||0||||Jun  2 2015  2:22PM
101|12|1|T|2800|100||||Jun  2 2015  2:23PM
101|12|2|R|2801|0||||Jun  2 2015  2:23PM
101|12|99|N||0||||Jun  2 2015  2:23PM
101|13|1|T|2802|100||||Jun  2 2015  2:23PM
101|13|2|R|2803|0||||Jun  2 2015  2:23PM
101|13|99|N||0||||Jun  2 2015  2:23PM
101|14|1|T|2792|0||||Jun  2 2015  2:22PM
101|14|2|R|2793|0||||Jun  2 2015  2:22PM
101|14|99|N||0||||Jun  2 2015  2:22PM
101|15|1|T|2788|100||||Jun  2 2015  2:21PM
101|15|2|R|2789|0||||Jun  2 2015  2:21PM
101|15|99|N||0||||Jun  2 2015  2:21PM
101|16|1|T|2790|100||||Jun  2 2015  2:21PM
101|16|2|R|2791|0||||Jun  2 2015  2:21PM
101|16|99|N||0||||Jun  2 2015  2:21PM
101|17|1|T|2810|100||||Jun  2 2015  5:30PM
101|17|2|R|2811|0||||Jun  2 2015  5:30PM
101|17|99|N||0||||Jun  2 2015  5:30PM
101|18|1|T|2782|40||||Jun  2 2015  2:20PM
101|18|2|R|2783|0||||Jun  2 2015  2:20PM
101|18|99|N||0||||Jun  2 2015  2:20PM
101|19|1|T|2784|40||||Jun  2 2015  2:20PM
101|19|2|R|2785|0||||Jun  2 2015  2:20PM
101|19|99|N||0||||Jun  2 2015  2:20PM
101|20|1|T|2838|100||||Feb  2 2016  2:17PM
101|20|2|R|2839|0||||Feb  2 2016  2:17PM
101|20|99|N||0||||Feb  2 2016  2:17PM
101|21|1|T|2836|100||||Feb  2 2016  2:16PM
101|21|2|R|2837|0||||Feb  2 2016  2:16PM
101|21|99|N||0||||Feb  2 2016  2:16PM
101|22|1|T|2840|100||||Feb  2 2016  2:17PM
101|22|2|R|2841|0||||Feb  2 2016  2:17PM
101|22|99|N||0||||Feb  2 2016  2:17PM
101|23|1|T|2813|100||||Jun  2 2015  7:41PM
101|23|2|R|2814|0||||Jun  2 2015  7:41PM
101|23|99|N||0||||Jun  2 2015  7:41PM
101|24|1|T|2821|100||||Jun  2 2015  7:44PM
101|24|2|R|2822|0||||Jun  2 2015  7:44PM
101|24|99|N||0||||Jun  2 2015  7:44PM
101|25|1|T|2819|100||||Jun  2 2015  7:44PM
101|25|2|R|2820|0||||Jun  2 2015  7:44PM
101|25|99|N||0||||Jun  2 2015  7:44PM
